fractionholiday2,holiday_trafficvariation,holiday_traficviolation,working_violationvstraffic,weekends_violationvstraffic,violationvstraffic vs days in a week,traffic vs days in a week,violation vs days in week
0.159481428,29157,4650,0.081885013,0.086600065,0.081885013,15967,1491
0.228515245,46277,10575,0.086592698,0.095238095,0.086592698,11046,2691
0.266124497,23117,6152,0.080873433,0.325692732,0.080873433,18115,3123
0.284540831,52105,14826,0.088301336,0.24262698,0.088301336,23533,1927
0.22619755,70686,15989,0.093380096,0.232439522,0.093380096,12453,2535
0.377879221,28697,10844,0.203565406,0.257749949,0.086600065,11969,2345
0.371330037,32766,12167,0.178174313,,0.095238095,18418,1595
0.360630589,30638,11049,0.136873476,,0.203565406,6893,2245
0.272755019,29488,8043,0.148089778,,0.178174313,13724,3190
0.333382603,40593,13533,0.243617599,,0.136873476,14952,1424
0.395594646,25923,10255,0.195922801,,0.148089778,7324,1777
0.354891001,17890,6349,0.207504521,,0.243617599,9742,2511
,,,0.197671633,,0.325692732,17814,1573
,,,0.274928571,,0.24262698,18401,2725
,,,0.172398565,,0.195922801,14000,3849
,,,,,0.207504521,16133,1397
,,,,,0.197671633,15019,2676
,,,,,0.274928571,17696,3672
,,,,,0.172398565,17311,1400
,,,,,0.232439522,18455,2526
,,,,,0.257749949,20873,4126
